Accession Number,Title,Sequence Length,Source of sample,NCBI Link,Geographical location,Host,Article name
AF104679,"Streptococcus anginosus strain 1012 16S ribosomal RNA gene, partial sequence",1573.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF104679,---,---,Pubmed : https://www.ncbi.nlm.nih.gov/pubmed/10628826 (Haemolytic activity of the `Streptococcus milleri group' and relationship between haemolysis restricted to human red blood cells and pathogenicity in S. intermedius)
AF104678,"Streptococcus anginosus strain ATCC33397 16S ribosomal RNA gene, partial sequence",1573.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF104678,---,---,Pubmed : https://www.ncbi.nlm.nih.gov/pubmed/10628826 (Haemolytic activity of the `Streptococcus milleri group' and relationship between haemolysis restricted to human red blood cells and pathogenicity in S. intermedius)
NR_041722,"Streptococcus anginosus SK52 = DSM 20563 16S ribosomal RNA, complete sequence",1556.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NR_041722,---,---,Pubmed : https://www.ncbi.nlm.nih.gov/pubmed/10628826 (Haemolytic activity of the `Streptococcus milleri group' and relationship between haemolysis restricted to human red blood cells and pathogenicity in S. intermedius)
OQ216617,"Streptococcus anginosus strain UMB8616 16S ribosomal RNA gene, partial sequence",1553.0,---,https://www.ncbi.nlm.nih.gov/nuccore/OQ216617,---,Human,-----
JN713285,"Streptococcus anginosus canine oral taxon 117 clone OI066 16S ribosomal RNA gene, partial sequence",1547.0, subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/JN713285,UK,Canis familiaris (Dog),6. The canine oral microbiome
GU470894,"Streptococcus anginosus strain F0211 16S ribosomal RNA gene, partial sequence",1531.0,oral microbiome,https://www.ncbi.nlm.nih.gov/nuccore/GU470894,---,Human,7. The human oral microbiome
AF145245,"Streptococcus anginosus strain 1007 16S ribosomal RNA, partial sequence",1530.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145245,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
ON077342,"Streptococcus anginosus strain 47 S1 16S ribosomal RNA gene, partial sequence",1528.0,Throat Swab,https://www.ncbi.nlm.nih.gov/nuccore/ON077342,Saudi Arabia,patient,9. Shotgun whole genome sequencing of drug-resistance Streptococcus anginosus strain 47S1 isolated from a patient with pharyngitis in Saudi Arabia
AF145244,"Streptococcus anginosus strain 1093 16S ribosomal RNA, partial sequence",1527.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145244,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
AF145239,"Streptococcus anginosus strain 367 16S ribosomal RNA, partial sequence",1524.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145239,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
